,Market Values in Millions
0,110.0
1,110.0
2,110.0
3,93.5
4,93.5
5,93.5
6,88.0
7,88.0
8,88.0
9,66.0
10,66.0
11,60.5
12,55.0
13,55.0
14,49.5
15,49.5
16,44.0
17,44.0
18,44.0
19,44.0
20,41.8
21,38.5
22,38.5
23,38.5
24,38.5
25,38.5
26,35.2
27,35.2
28,35.2
29,35.2
30,33.0
31,33.0
32,30.8
33,29.7
34,27.5
35,24.2
36,24.2
37,24.2
38,24.2
39,24.2
40,24.2
41,24.2
42,24.2
43,24.2
44,22.0
45,22.0
46,22.0
47,22.0
48,22.0
49,22.0
50,22.0
51,22.0
52,19.8
53,19.8
54,19.8
55,19.8
56,19.8
57,19.8
58,18.7
59,18.7
60,17.6
61,16.5
62,16.5
63,16.5
64,16.5
65,15.4
66,15.4
67,15.4
68,14.3
69,13.2
70,13.2
71,13.2
72,12.1
73,11.0
74,11.0
75,11.0
76,11.0
77,11.0
78,11.0
79,9.9
80,9.9
81,9.9
82,8.8
83,8.8
84,8.8
85,8.8
86,8.8
87,8.8
88,8.8
89,7.7
90,7.7
91,6.6
92,6.6
93,6.05
94,5.5
95,5.5
96,5.5
97,4.4
98,4.4
99,4.4
100,110.0
101,77.0
102,66.0
103,66.0
104,55.0
105,49.5
106,49.5
107,44.0
108,44.0
109,44.0
110,44.0
111,44.0
112,44.0
113,44.0
114,44.0
115,35.2
116,33.0
117,33.0
118,33.0
119,33.0
120,33.0
121,30.8
122,30.8
123,27.5
124,27.5
125,24.2
126,22.0
127,22.0
128,22.0
129,22.0
130,19.8
131,19.8
132,17.6
133,17.6
134,16.5
135,16.5
136,16.5
137,16.5
138,16.5
139,16.5
140,15.4
141,15.4
142,13.2
143,13.2
144,13.2
145,13.2
146,13.2
147,13.2
148,13.2
149,11.0
150,11.0
151,11.0
152,11.0
153,11.0
154,9.9
155,9.9
156,9.9
157,9.35
158,8.8
159,8.8
160,8.8
161,8.8
162,8.8
163,8.8
164,8.8
165,8.25
166,8.25
167,7.7
168,7.7
169,7.7
170,7.7
171,7.7
172,6.6
173,6.6
174,6.6
175,6.6
176,6.6
177,6.6
178,6.6
179,6.6
180,5.5
181,5.5
182,5.5
183,5.5
184,5.5
185,5.5
186,5.5
187,5.5
188,4.95
189,4.4
190,4.4
191,4.4
192,4.4
193,4.4
194,3.85
195,3.85
196,3.85
197,3.3
198,3.3
199,165.0
200,77.0
201,77.0
202,60.5
203,55.0
204,49.5
205,44.0
206,41.8
207,33.0
208,30.8
209,30.8
210,27.5
211,24.2
212,23.1
213,22.0
214,19.8
215,19.8
216,18.7
217,18.7
218,17.6
219,17.6
220,17.6
221,17.6
222,16.5
223,16.5
224,16.5
225,14.3
226,13.2
227,13.2
228,13.2
229,12.1
230,12.1
231,11.0
232,11.0
233,10.45
234,8.8
235,8.8
236,8.8
237,8.25
238,7.7
239,7.7
240,7.7
241,7.7
242,7.15
243,7.15
244,6.6
245,6.05
246,6.05
247,5.5
248,5.5
249,5.5
250,4.95
251,4.95
252,4.95
253,4.4
254,4.4
255,4.4
256,4.4
257,3.85
258,3.85
259,3.85
260,3.85
261,3.85
262,3.3
263,3.3
264,3.3
265,3.3
266,3.3
267,3.3
268,3.3
269,3.3
270,3.3
271,3.3
272,2.75
273,2.75
274,2.75
275,2.75
276,2.53
277,2.42
278,2.2
279,2.2
280,2.2
281,2.2
282,1.98
283,1.98
284,1.98
285,1.98
286,1.98
287,1.98
288,1.87
289,1.65
290,1.65
291,1.65
292,1.65
293,1.65
294,1.43
295,88.0
296,77.0
297,77.0
298,66.0
299,55.0
300,44.0
301,41.8
302,38.5
303,38.5
304,38.5
305,38.5
306,36.3
307,36.3
308,35.2
309,33.0
310,33.0
311,30.8
312,29.7
313,29.7
314,26.4
315,24.2
